Date,Open,High,Low,Close,Volume,Name
2/8/2013,36.37,36.42,35.825,36.25,13858795,ABBV
2/11/2013,36.13,36.18,35.75,35.85,6031957,ABBV
2/12/2013,35.77,35.9,35.2,35.42,7473991,ABBV
2/13/2013,35.42,35.57,35.15,35.27,4860053,ABBV
2/14/2013,35.05,36.73,35.01,36.57,7570052,ABBV
2/15/2013,36.93,37.81,36.93,37.58,13296586,ABBV
2/19/2013,37.54,38.33,37.11,38.19,8292612,ABBV
2/20/2013,38.16,39.13,37.61,38.61,8096330,ABBV
2/21/2013,38.49,39.025,38.19,38.78,7261136,ABBV
2/22/2013,38.79,38.85,38.14,38.46,4490835,ABBV
2/25/2013,38.54,38.61,37.37,37.37,4665671,ABBV
2/26/2013,37.6,37.6,36.96,37.09,4462936,ABBV
2/27/2013,36.97,36.98,36.4,36.73,12238463,ABBV
2/28/2013,36.66,37.14,36.5,36.92,10322299,ABBV
3/1/2013,36.8,38.07,36.551,37.81,8929379,ABBV
3/4/2013,37.53,38.25,37.53,38.24,5420719,ABBV
3/5/2013,38.45,38.57,37.29,37.51,6650110,ABBV
3/6/2013,37.56,37.86,37.37,37.74,5489700,ABBV
3/7/2013,37.65,38.01,37.44,37.49,4442420,ABBV
3/8/2013,37.64,37.65,37.16,37.34,4114449,ABBV
3/11/2013,37.25,38.15,37.08,37.67,4614351,ABBV
3/12/2013,37.7,38.3,37.05,37.17,6523931,ABBV
3/13/2013,37.2,37.5899,37.04,37.17,3710541,ABBV
3/14/2013,37.43,37.59,36.86,37.56,9864432,ABBV
3/15/2013,37.44,38.54,37.28,38.5,12208850,ABBV
3/18/2013,38.05,38.49,37.99,38.16,5126112,ABBV
3/19/2013,38.25,38.4,37.84,38.36,5108398,ABBV
3/20/2013,38.5,39.19,38.41,39.06,7073266,ABBV
3/21/2013,38.82,38.97,38.48,38.49,4738057,ABBV
3/22/2013,38.57,38.97,38.3,38.97,3323330,ABBV
3/25/2013,39.12,39.52,38.93,39.32,6064941,ABBV
3/26/2013,39.57,40.52,39.57,40.21,7249496,ABBV
3/27/2013,40.22,40.29,39.66,40.15,4274985,ABBV
3/28/2013,40.26,40.8,39.775,40.78,7264747,ABBV
4/1/2013,39.96,41.14,39.96,41.12,5739918,ABBV
4/2/2013,41.22,41.22,40.52,40.71,5510629,ABBV
4/3/2013,40.75,41.45,40.35,40.57,4122422,ABBV
4/4/2013,40.77,41.78,40.624,41.6,20687523,ABBV
4/5/2013,41.31,41.5,41.09,41.31,14091702,ABBV
4/8/2013,41.27,41.87,41.07,41.77,16449213,ABBV
4/9/2013,41.96,43.56,41.8,42.55,8674526,ABBV
4/10/2013,42.65,43.77,42.5,43.62,7809966,ABBV
4/11/2013,43.42,43.705,43.11,43.2,6494382,ABBV
4/12/2013,42.97,43.29,42.62,43.09,4202267,ABBV
4/15/2013,42.87,43.03,41.41,41.44,7153137,ABBV
4/16/2013,41.67,42.53,41.13,42.45,6999109,ABBV
4/17/2013,42.14,42.43,41.42,42.24,5046271,ABBV
4/18/2013,42.37,42.64,41.89,42.32,5008971,ABBV
4/19/2013,42.51,42.58,42.2,42.39,6493328,ABBV
4/22/2013,43,44.83,42.88,44.2,8531644,ABBV
4/23/2013,44.61,46.32,44.4,45.14,9378005,ABBV
4/24/2013,45.14,45.34,43.94,44.32,5541225,ABBV
4/25/2013,44.75,44.7899,43.76,44.24,5236806,ABBV
4/26/2013,44.95,46.31,44.75,45.84,10100905,ABBV
4/29/2013,45.83,45.93,45.05,45.23,6025401,ABBV
4/30/2013,45.05,46.23,45.01,46.05,6792922,ABBV
5/1/2013,45.74,46.09,45.55,45.55,6399553,ABBV
5/2/2013,45.68,45.68,43.86,43.99,9651087,ABBV
5/3/2013,44.31,44.77,43.83,44.68,4643020,ABBV
5/6/2013,44.95,44.95,44.15,44.59,4085682,ABBV
5/7/2013,44.5,45,44.4201,44.91,3745563,ABBV
5/8/2013,45.01,45.05,43.39,43.49,6973280,ABBV
5/9/2013,43.34,44.45,43.25,44.24,5047066,ABBV
5/10/2013,44.21,45.01,44.2,45.01,4455864,ABBV
5/13/2013,44.79,44.79,44.17,44.54,3738818,ABBV
5/14/2013,44.09,45.52,44.09,45.35,5761112,ABBV
5/15/2013,45.72,46.93,45.48,46.03,6702565,ABBV
5/16/2013,46.06,46.9,46.01,46.21,4605696,ABBV
5/17/2013,46.03,47.34,45.85,47.17,5245633,ABBV
5/20/2013,47.12,47.14,46.0701,46.26,3537760,ABBV
5/21/2013,46.19,46.96,46.17,46.54,4710269,ABBV
5/22/2013,46.46,48,45.85,46.76,5203782,ABBV
5/23/2013,46.12,46.945,46.02,46.59,3283579,ABBV
5/24/2013,46.25,46.48,45.3138,45.44,4511667,ABBV
5/28/2013,45.89,46.04,44.7,45.39,6181991,ABBV
5/29/2013,44.89,45.18,43.79,43.88,6908441,ABBV
5/30/2013,44.07,45.12,44.07,44.55,4852176,ABBV
5/31/2013,44.27,44.69,42.6825,42.69,9308694,ABBV
6/3/2013,42.88,43.58,42.75,43.36,7177530,ABBV
6/4/2013,43.42,44.47,43.38,43.63,4528588,ABBV
6/5/2013,43.49,43.9,42.69,43.04,4801301,ABBV
6/6/2013,43.22,43.57,42.65,43.5,4261250,ABBV
6/7/2013,43.72,44.27,43.5,44,5463841,ABBV
6/10/2013,44.33,44.33,43.22,43.92,4703379,ABBV
6/11/2013,43.31,44.05,43.05,43.59,3574781,ABBV
6/12/2013,43.91,44,42.72,42.77,3742538,ABBV
6/13/2013,42.42,43.2,40.1,43.15,6096412,ABBV
6/14/2013,42.98,43.5,42.5,43.21,4078472,ABBV
6/17/2013,43.4,43.5,42.68,43.01,3457927,ABBV
6/18/2013,42.97,43.56,42.63,43.54,3645023,ABBV
6/19/2013,43.56,43.83,43.01,43.04,3663528,ABBV
6/20/2013,42.65,42.78,40.91,41.06,7476084,ABBV
6/21/2013,41.66,42.71,41.2,42.62,9823959,ABBV
6/24/2013,42.07,42.395,41.32,41.89,6044515,ABBV
6/25/2013,42.15,42.77,41.61,42.63,4687548,ABBV
6/26/2013,43.1,43.61,43.025,43.38,4733682,ABBV
6/27/2013,43.56,43.98,42.735,43.13,5164221,ABBV
6/28/2013,42.53,42.97,41.32,41.34,10754205,ABBV
7/1/2013,41.4,41.93,41.07,41.61,4589412,ABBV
7/2/2013,41.58,42.569,41.58,42.21,4367392,ABBV
7/3/2013,41.88,42.31,41.61,42.23,2417693,ABBV
7/5/2013,42.45,42.83,42.31,42.72,2743786,ABBV
7/8/2013,42.9,43.69,42.82,43.68,3982360,ABBV
7/9/2013,44,44.23,43.25,43.32,3808460,ABBV
7/10/2013,43.36,44.12,43.36,43.91,3092351,ABBV
7/11/2013,43.94,44.11,43.33,43.78,4061419,ABBV
7/12/2013,43.93,45.11,43.8,45.05,5694865,ABBV
7/15/2013,44.95,44.97,44.54,44.62,3266589,ABBV
7/16/2013,44.54,44.77,43.7,43.81,3714496,ABBV
7/17/2013,43.97,44.15,43.74,43.96,3646009,ABBV
7/18/2013,43.96,44.56,43.81,44.32,3043697,ABBV
7/19/2013,44.49,44.91,44.12,44.52,4234866,ABBV
7/22/2013,44.3,45.1,43.8,44.97,3810450,ABBV
7/23/2013,44.92,45.09,44.23,44.31,3535542,ABBV
7/24/2013,44.28,44.37,43.39,43.64,3088091,ABBV
7/25/2013,43.41,44.43,43.35,44.24,4088669,ABBV
7/26/2013,45.01,45.12,44.17,44.79,4491224,ABBV
