Date,Open,High,Low,Close,Volume,Name
2/8/2013,46.52,46.895,46.46,46.89,1232802,ABC
2/11/2013,46.85,47,46.5,46.76,1115888,ABC
2/12/2013,46.7,47.05,46.6,46.96,1318773,ABC
2/13/2013,46.74,46.9,46.6,46.64,2645247,ABC
2/14/2013,46.67,46.99,46.6,46.77,1941879,ABC
2/15/2013,46.77,47.09,46.51,46.6,2962354,ABC
2/19/2013,46.67,47.24,46.62,47.22,1831692,ABC
2/20/2013,47.22,47.39,46.59,46.61,1970391,ABC
2/21/2013,46.48,46.62,46.1633,46.48,1432331,ABC
2/22/2013,46.48,47.03,46.385,46.95,1003693,ABC
2/25/2013,47.1,47.25,46.18,46.18,1795053,ABC
2/26/2013,46.38,46.62,46.08,46.57,1374357,ABC
2/27/2013,46.66,47.21,46.58,47.03,855645,ABC
2/28/2013,46.96,47.51,46.81,47.2,2254042,ABC
3/1/2013,47.22,48.14,46.89,47.98,2135840,ABC
3/4/2013,47.83,48.25,47.66,48.25,2132714,ABC
3/5/2013,48.04,48.4,47.96,48.27,1646704,ABC
3/6/2013,48.44,48.8,48.27,48.48,1494635,ABC
3/7/2013,48.44,48.65,47.68,48.08,1785841,ABC
3/8/2013,48.27,48.51,47.97,48.48,1427447,ABC
3/11/2013,48.36,48.74,48.29,48.55,1495051,ABC
3/12/2013,48.52,48.85,48.44,48.65,1222544,ABC
3/13/2013,48.71,48.9,48.57,48.86,859108,ABC
3/14/2013,49,49.39,48.91,49.29,1810900,ABC
3/15/2013,49.14,49.245,48.82,48.89,2027539,ABC
3/18/2013,48.32,48.67,48.16,48.3,2602318,ABC
3/19/2013,51.39,52.15,49.92,50.06,17071639,ABC
3/20/2013,50.31,50.45,49.72,50.24,3204753,ABC
3/21/2013,50.11,50.54,49.56,49.79,2284953,ABC
3/22/2013,49.8,49.919,49.6,49.82,2891124,ABC
3/25/2013,49.95,50.95,49.84,50.59,3248101,ABC
3/26/2013,50.86,51.21,50.47,50.72,2428292,ABC
3/27/2013,50.51,50.9,50.33,50.71,2027985,ABC
3/28/2013,50.96,51.57,50.795,51.45,2836398,ABC
4/1/2013,51.38,51.659,51.29,51.64,1429459,ABC
4/2/2013,51.92,53.36,51.85,52.41,4047740,ABC
4/3/2013,52.57,52.83,51.315,51.69,4838654,ABC
4/4/2013,51.69,52.83,51.67,51.82,2840059,ABC
4/5/2013,51.43,52.12,51.41,52.08,1596355,ABC
4/8/2013,52.18,52.7,51.69,52.63,2294537,ABC
4/9/2013,52.75,53.15,52.49,52.92,3118306,ABC
4/10/2013,53.93,54,53.075,53.3,3149508,ABC
4/11/2013,53.28,54.16,53.25,53.81,2354319,ABC
4/12/2013,53.78,54.33,53.68,54.18,1269258,ABC
4/15/2013,54.14,54.346,53.84,54.04,2243835,ABC
4/16/2013,54.48,54.9875,54.12,54.95,2050535,ABC
4/17/2013,54.78,55.19,54.45,55.06,3176640,ABC
4/18/2013,55.06,56.07,55.02,55.44,4273971,ABC
4/19/2013,55.61,55.99,55.24,55.92,2022474,ABC
4/22/2013,56.42,56.44,55.65,56.2,2571342,ABC
4/23/2013,56.39,56.91,55.94,56.3,2419484,ABC
4/24/2013,56.33,56.595,55.63,55.82,3091286,ABC
4/25/2013,55.82,56,53.125,53.41,7992643,ABC
