Date,Open,High,Low,Close,Volume,Name
2/8/2013,44.72,45.9,44.45,45.7,2962576,ADI
2/11/2013,45.99,46.14,45.77,46.08,2382919,ADI
2/12/2013,46.15,46.35,45.96,46.27,2313512,ADI
2/13/2013,46.29,46.63,46.06,46.26,2376089,ADI
2/14/2013,46.02,46.7,45.98,46.54,1991339,ADI
2/15/2013,46.39,46.625,45.86,46.175,3187346,ADI
2/19/2013,46.4,47.04,46.2,47.01,2734193,ADI
2/20/2013,46.9,47.27,45.76,45.79,3472897,ADI
2/21/2013,45.7,45.77,44.835,45.12,2923019,ADI
2/22/2013,45.1905,45.89,45.19,45.52,2320070,ADI
2/25/2013,46.11,46.27,44.75,44.77,2626687,ADI
2/26/2013,45.08,45.31,44.65,45,4383813,ADI
2/27/2013,44.58,45.62,44.31,45.38,2094992,ADI
2/28/2013,45.28,45.82,43.68,45.22,2627140,ADI
3/1/2013,45,45.44,44.41,45.23,2392766,ADI
3/4/2013,45.29,45.345,44.89,45.3,1971660,ADI
3/5/2013,45.5,45.93,45.5,45.77,1425028,ADI
3/6/2013,45.83,46.19,45.8,46.12,1908564,ADI
3/7/2013,46.25,46.2575,45.59,45.71,1975107,ADI
3/8/2013,45.96,46.27,45.53,46.05,1663197,ADI
3/11/2013,45.96,46.445,45.79,46.44,1731687,ADI
3/12/2013,46.4,46.64,46.15,46.48,1967323,ADI
3/13/2013,46.41,46.63,46.21,46.48,1864213,ADI
3/14/2013,46.65,46.995,46.47,46.505,1902555,ADI
3/15/2013,46.33,46.53,45.39,45.53,4695222,ADI
3/18/2013,45.25,45.35,44.73,44.85,2326820,ADI
3/19/2013,44.98,45.16,44.33,44.91,1778035,ADI
3/20/2013,45.29,45.75,45.13,45.66,1811235,ADI
3/21/2013,45.22,45.4,44.52,44.55,1645398,ADI
3/22/2013,44.82,45.16,44.695,44.9,2071589,ADI
3/25/2013,45.04,45.06,44.37,44.64,1900007,ADI
3/26/2013,44.9,45.78,44.77,45.75,1623312,ADI
3/27/2013,45.3,45.87,45.02,45.75,1471120,ADI
3/28/2013,45.63,46.53,45.61,46.49,2095835,ADI
4/1/2013,46.28,46.36,45.315,45.41,2542598,ADI
4/2/2013,45.72,45.74,44.935,45.2,2177063,ADI
4/3/2013,45.09,45.19,43.89,44.06,2431063,ADI
4/4/2013,44.13,44.19,43.62,43.745,3513837,ADI
4/5/2013,43.01,43.68,42.45,43.61,3381308,ADI
4/8/2013,43.64,44,43.35,44,2301854,ADI
4/9/2013,44.03,44.27,43.53,44.07,2574880,ADI
4/10/2013,44.28,45.12,44.04,45.1,2386183,ADI
4/11/2013,45.14,45.4,44.74,44.9,2459214,ADI
4/12/2013,44.71,44.83,44.075,44.59,2311832,ADI
4/15/2013,44.41,44.7,43.84,43.84,2780966,ADI
4/16/2013,44.09,44.78,43.905,44.74,2382066,ADI
4/17/2013,43.57,43.86,42.24,42.85,4736902,ADI
4/18/2013,43.35,43.35,42.16,42.34,2802940,ADI
4/19/2013,42.2,42.69,41.81,42.36,2746280,ADI
4/22/2013,42.62,42.92,41.88,42.66,2253628,ADI
4/23/2013,42.98,43.63,42.85,43.43,2371357,ADI
4/24/2013,43.66,43.81,43.44,43.46,2926811,ADI
4/25/2013,43.97,43.97,43.57,43.65,6025210,ADI
4/26/2013,43.51,43.7,43.21,43.3,2081117,ADI
4/29/2013,43.6,43.77,43.39,43.66,1548037,ADI
4/30/2013,43.56,44.04,43.36,43.99,2572418,ADI
5/1/2013,44.12,44.35,43.7601,43.88,1876126,ADI
5/2/2013,43.96,44.445,43.58,44.21,2883695,ADI
5/3/2013,44.71,45.11,44.5,45,2395229,ADI
5/6/2013,45.28,45.96,45.02,45.82,3211142,ADI
5/7/2013,45.81,45.91,45.55,45.78,1658352,ADI
5/8/2013,45.81,46.1299,45.5,46.08,1440942,ADI
5/9/2013,45.95,46.61,45.95,46.38,2240499,ADI
5/10/2013,46.56,46.83,46.36,46.79,1670913,ADI
5/13/2013,46.53,46.66,46.15,46.25,1373785,ADI
5/14/2013,46.22,46.53,46.19,46.34,1844600,ADI
5/15/2013,46.29,46.73,46.2,46.69,1443588,ADI
5/16/2013,46.69,47.0598,46.47,46.5,1745170,ADI
5/17/2013,46.84,47.02,46.52,47.02,1816071,ADI
