Date,Open,High,Low,Close,Volume,Name
2/8/2013,45.07,45.35,45,45.08,1824755,A
2/11/2013,45.17,45.18,44.45,44.6,2915405,A
2/12/2013,44.81,44.95,44.5,44.62,2373731,A
2/13/2013,44.81,45.24,44.68,44.75,2052338,A
2/14/2013,44.72,44.78,44.36,44.58,3826245,A
2/15/2013,43.48,44.24,42.21,42.25,14657315,A
2/19/2013,42.21,43.12,42.21,43.01,4116141,A
2/20/2013,42.84,42.85,42.225,42.24,3873183,A
2/21/2013,42.14,42.14,41.47,41.63,3415149,A
2/22/2013,41.83,42.07,41.58,41.8,3354862,A
2/25/2013,42.09,42.22,41.29,41.29,3622460,A
2/26/2013,40.62,41.29,40.19,40.97,6185811,A
2/27/2013,40.99,41.905,40.83,41.73,3564385,A
2/28/2013,41.78,42.06,41.45,41.48,3464202,A
3/1/2013,41.18,41.98,40.73,41.93,3089323,A
3/4/2013,41.75,42.18,41.52,42.03,2435306,A
3/5/2013,42.35,43.19,42.34,42.66,3289188,A
3/6/2013,43,43.52,42.9,43.24,2996908,A
3/7/2013,43.3,43.48,42.81,43.25,2414186,A
3/8/2013,43.5,43.52,43.02,43.03,3256301,A
3/11/2013,42.99,43.01,41.73,42.81,5472837,A
3/12/2013,42.8,43,42.59,42.62,3767613,A
3/13/2013,42.56,43.05,42.4,43,2241086,A
3/14/2013,43.03,43.38,43,43.32,2840603,A
3/15/2013,43.1,43.22,42.88,43.01,2579690,A
3/18/2013,42.46,42.7,42.18,42.55,1847766,A
3/19/2013,42.68,42.82,41.59,42,6246443,A
3/20/2013,42.25,42.785,42.22,42.7,3240314,A
3/21/2013,42.45,42.76,41.63,41.65,4409084,A
3/22/2013,41.79,41.79,40.91,41.25,5425027,A
3/25/2013,41.49,41.654,40.79,41.13,2797510,A
3/26/2013,41.4,41.82,41.32,41.82,2513554,A
3/27/2013,41.4,42.19,41.21,42.09,3369968,A
3/28/2013,42.08,42.08,41.4995,41.97,2147900,A
4/1/2013,41.83,41.9771,40.79,40.93,2541331,A
4/2/2013,41.12,41.36,40.59,40.66,2354390,A
4/3/2013,40.63,40.99,40.32,40.52,5278950,A
4/4/2013,40.54,41.47,40.54,41.41,3918841,A
4/5/2013,40.73,41.85,40.67,41.54,4959134,A
4/8/2013,41.44,41.7425,41.17,41.66,2395400,A
4/9/2013,41.73,42.13,41.53,41.65,1659420,A
4/10/2013,41.73,42.37,41.665,42.26,2169261,A
4/11/2013,42.35,43.93,42.3301,43.86,5626492,A
4/12/2013,43.54,44.785,43.43,44.75,6083564,A
4/15/2013,44.5,44.54,42.945,43.04,7750724,A
4/16/2013,43.46,43.75,42.84,43.39,4505330,A
4/17/2013,43.08,43.11,41.93,42.19,4492937,A
4/18/2013,41.77,42.25,41.4798,41.83,3976804,A
4/19/2013,41.89,42.22,41.65,42,3075803,A
4/22/2013,42.03,42.25,41.34,41.85,2340457,A
4/23/2013,42.21,42.8425,42.13,42.61,3522419,A
4/24/2013,42.72,43.035,42.37,42.85,3020692,A
4/25/2013,43.05,43.25,42.66,42.73,2119838,A
4/26/2013,42.44,42.57,40.69,41.3,5283798,A
4/29/2013,41.64,41.68,41.05,41.46,2541961,A
4/30/2013,41.2,41.66,40.95,41.44,3451449,A
5/1/2013,41.42,41.74,41.26,41.31,2726213,A
5/2/2013,41.49,41.72,41.236,41.48,3437642,A
5/3/2013,41.93,42.55,41.54,41.55,4741565,A
5/6/2013,41.44,42.12,41.39,42,2819360,A
5/7/2013,42.18,42.41,41.9,42.4,3524022,A
5/8/2013,42.4,42.95,42.3,42.94,2119765,A
5/9/2013,42.97,43.195,42.63,43.16,3159293,A
5/10/2013,43.12,43.85,43.04,43.63,4662252,A
5/13/2013,43.43,43.56,42.72,43.04,4260335,A
5/14/2013,42.98,44.06,42.882,43.97,6075845,A
5/15/2013,44.9,46.49,44.89,45.68,10289000,A
5/16/2013,45.43,45.84,44.97,44.99,4890962,A
5/17/2013,45.02,45.83,44.99,45.56,3247851,A
5/20/2013,45.48,47.45,45.39,46.34,5698804,A
5/21/2013,46.3,46.96,46.21,46.75,4020941,A
5/22/2013,46.72,47.473,46.07,46.24,5421887,A
5/23/2013,45.7,45.93,45.195,45.74,3777408,A
5/24/2013,45.36,45.69,45.25,45.59,2225361,A
5/28/2013,46.09,46.94,46.09,46.43,4793962,A
5/29/2013,45.98,46.35,45.4,46.05,3621114,A
5/30/2013,46.21,47.05,46.01,46.05,3090824,A
5/31/2013,45.91,46.47,45.43,45.45,4609273,A
6/3/2013,45.65,45.84,45.04,45.51,3677473,A
6/4/2013,46.175,46.45,45.38,45.42,3364296,A
6/5/2013,45.32,45.38,44.5,44.53,2495073,A
6/6/2013,44.5,45.01,44.21,45.01,3781151,A
6/7/2013,45.16,45.92,44.94,45.15,2781171,A
6/10/2013,45.35,45.35,44.485,44.73,2730800,A
6/11/2013,44.22,44.63,44,44.4,3914328,A
6/12/2013,44.78,44.828,43.795,43.92,2730633,A
6/13/2013,43.87,44.56,43.66,44.49,2594941,A
6/14/2013,44.34,44.57,43.85,44,1677669,A
6/17/2013,44.38,44.869,44.185,44.38,2000122,A
6/18/2013,44.38,44.81,44.2701,44.8,2522376,A
6/19/2013,44.74,44.8796,43.5,43.52,5805826,A
6/20/2013,43.11,43.11,41.85,42.32,6307980,A
6/21/2013,42.6,43.23,42.37,42.98,3656145,A
6/24/2013,42.44,42.75,42.07,42.31,2871453,A
6/25/2013,42.01,42.82,42.01,42.48,2939595,A
6/26/2013,43.1,43.29,42.28,42.34,3693707,A
6/27/2013,42.56,43.29,42.52,43.08,3447018,A
6/28/2013,43,43.305,42.73,42.76,5556673,A
7/1/2013,43.05,43.77,42.91,43.59,4283821,A
7/2/2013,43.5,43.89,42.95,43.09,2986405,A
7/3/2013,42.82,43.46,42.72,43.17,1940832,A
7/5/2013,43.46,44.295,43.4,44.23,2100873,A
7/8/2013,44.38,44.67,44.12,44.36,2572391,A
7/9/2013,44.6,44.96,44.34,44.6,3476214,A
7/10/2013,44.64,45.65,44.51,45.31,3277684,A
7/11/2013,45.69,45.98,45.43,45.72,2131803,A
7/12/2013,45.78,45.95,45.5838,45.75,1978819,A
7/15/2013,45.7,46.275,45.68,46.11,2433181,A
7/16/2013,46.09,46.47,45.775,45.91,2026749,A
7/17/2013,45.95,46.1,45.57,45.61,1196543,A
7/18/2013,45.66,46.05,45.55,45.9,1999719,A
7/19/2013,45.83,46.275,45.69,46.2,1179308,A
7/22/2013,46.23,46.85,46.1,46.8,1836733,A
7/23/2013,46.31,46.84,46.31,46.47,2934199,A
7/24/2013,46.67,46.81,46.495,46.76,1831121,A
7/25/2013,46.62,46.9,46.39,46.66,1420233,A
7/26/2013,46.31,46.56,45.4322,45.6,3694988,A
7/29/2013,45.59,45.7,44.98,45.34,1962142,A
7/30/2013,45.55,45.6,44.82,44.85,2791858,A
7/31/2013,45.04,45.3,44.66,44.73,2807402,A
8/1/2013,45.51,46.2,45.32,46.04,2745041,A
8/2/2013,46.06,46.51,45.9901,46.38,2387817,A
8/5/2013,46.26,46.4,45.8,45.94,1875418,A
8/6/2013,45.93,46.215,45.61,46.08,2280909,A
8/7/2013,45.88,46.46,45.62,46.28,1702122,A
8/8/2013,46.5,46.55,45.64,45.85,1702407,A
8/9/2013,45.85,46.46,45.81,46.22,1958449,A
8/12/2013,45.89,46.51,45.72,46.45,1247241,A
8/13/2013,46.45,46.98,46.24,46.92,2078213,A
8/14/2013,46.77,47,46.37,46.51,1989871,A
8/15/2013,47.59,48.17,46.85,46.96,6708341,A
8/16/2013,46.81,47.22,46.52,46.79,3624694,A
8/19/2013,46.63,46.94,46.42,46.44,1727559,A
8/20/2013,46.43,47.2699,46.17,47.03,2294328,A
8/21/2013,46.93,47.24,46.64,46.89,1949054,A
8/22/2013,46.89,48.33,46.8,47.97,3147986,A
8/23/2013,47.96,48,47.54,47.68,1702511,A
8/26/2013,47.64,48.205,47.39,47.6,2012701,A
8/27/2013,47.08,47.39,46.8,46.97,2138064,A
8/28/2013,46.88,46.97,46.51,46.74,1590425,A
8/29/2013,46.63,47.03,46.42,46.8,1900662,A
8/30/2013,46.89,46.98,46.37,46.64,1358573,A
9/3/2013,47.04,47.51,46.615,46.93,1565632,A
9/4/2013,46.93,47.96,46.74,47.87,2522043,A
9/5/2013,47.82,48.09,47.58,47.68,1313188,A
9/6/2013,47.71,47.79,47.13,47.43,1332857,A
9/9/2013,47.59,48.0485,47.29,47.95,1668867,A
9/10/2013,48.04,48.67,48.04,48.55,1821283,A
9/11/2013,48.6,49.02,48.22,48.96,1783424,A
