Date,Close,Volume,Open,High,Low
5/21/2012,218.11,3576271,214.03,219.98,212.82
5/22/2012,215.33,3731644,218.31,218.87,213.96
5/23/2012,217.28,4237216,214.71,217.55,211.18
5/24/2012,215.24,3141096,216.98,217.66,212.7
5/25/2012,212.89,2171015,214.99,215.98,212.22
5/29/2012,214.75,2693388,214.3,216.55,212.29
5/30/2012,209.23,4078181,212.14,212.98,207.75
5/31/2012,212.91,4941911,209.48,213.79,207.11
6/1/2012,208.22,3951418,208.44,211.23,207.3
6/4/2012,214.57,4296582,207.4,215.35,206.37
6/5/2012,213.21,3540391,213.85,216.86,211.16
6/6/2012,217.64,2707433,214.63,218.4,214.52
6/7/2012,218.8,3503616,219.65,221.49,218.11
6/8/2012,218.48,2876704,218.61,219.42,216.66
6/11/2012,216.5,3749085,217.49,220.87,215.2
6/12/2012,216.42,2833255,217.65,218,214.52
6/13/2012,214.73,2326029,215.52,217.38,213.52
6/14/2012,214.45,3060773,215.26,216.5,212.56
6/15/2012,218.35,3784618,215.29,219.33,214.46
6/18/2012,222.66,3368746,217.28,223.76,216.73
6/19/2012,224.03,2716419,223.26,225.2,221.66
6/20/2012,223.02,2443332,224.51,224.74,220.84
6/21/2012,220.58,2840930,223.84,226.03,220.52
6/22/2012,222.16,2175977,221.83,222.51,219.35
6/25/2012,220.07,2382265,220.3,221.59,218
6/26/2012,225.61,3751433,221.45,226.39,221.45
6/27/2012,225.62,2795230,225.01,227.5,223.3
6/28/2012,221.31,2993786,223.92,224.62,218.75
6/29/2012,228.35,3613774,224.7,228.35,223.71
7/2/2012,229.32,2327844,229.3,229.34,226.34
7/3/2012,229.53,1335952,229.14,229.53,227.59
7/5/2012,227.06,2681550,228.62,230.5,226.53
7/6/2012,225.05,3202530,226.35,228.9,224.18
7/9/2012,225.05,1921126,225,226,223.45
7/10/2012,219.5,2981599,226.25,227.14,218.28
7/11/2012,218.37,2732920,218.95,221.74,215.34
7/12/2012,215.36,2611543,216.61,217.3,212.61
7/13/2012,218.39,2221829,215.63,219.31,213.88
7/16/2012,216.01,2004155,216.6,218.31,214.46
7/17/2012,216.93,1986954,217.45,217.94,213.96
7/18/2012,217.47,2079354,216.15,218.67,215.71
7/19/2012,226.17,5446631,220.73,227.5,220.69
