Date,Close,Volume,Open,High,Low
5/21/2012,34.03,167943600,36.53,36.66,33
5/22/2012,31,101667700,32.61,33.59,30.94
5/23/2012,32,73541150,31.37,32.5,31.36
5/24/2012,33.03,50208760,32.95,33.21,31.77
5/25/2012,31.91,37101630,32.9,32.95,31.11
5/29/2012,28.84,77941380,31.48,31.69,28.65
5/30/2012,28.19,57237340,28.7,29.55,27.86
5/31/2012,29.6,110940500,28.55,29.67,26.83
6/1/2012,27.72,41837160,28.89,29.15,27.39
6/4/2012,26.9,35204750,27.2,27.65,26.44
6/5/2012,25.87,42367740,26.7,27.76,25.75
6/6/2012,26.81,61427940,26.07,27.17,25.52
6/7/2012,26.31,26132090,27,27.35,26.15
6/8/2012,27.1,37997180,26.55,27.76,26.44
6/11/2012,27.01,28202230,27.18,28.07,26.84
6/12/2012,27.4,15809640,27.48,27.77,26.96
6/13/2012,27.27,17110160,27.66,28.1,27.1
6/14/2012,28.29,16835510,27.65,28.32,27.38
6/15/2012,30.01,43517670,28.51,30.1,28.35
6/18/2012,31.41,42958450,29.96,32.08,29.41
6/19/2012,31.91,30826830,31.54,32.18,30.7
6/20/2012,31.6,15549740,31.92,31.93,31.15
6/21/2012,31.84,21843070,31.67,32.5,31.51
6/22/2012,33.05,73424890,32.41,33.45,32.06
6/25/2012,32.06,24330740,32.86,33.02,31.55
6/26/2012,33.1,24785970,32.69,33.44,32.5
6/27/2012,32.23,28553940,32.46,32.9,31.9
6/28/2012,31.36,17659080,31.96,32.19,30.9
6/29/2012,31.1,19508980,31.92,31.99,30.76
7/2/2012,30.77,14110230,31.25,31.73,30.55
7/3/2012,31.2,8765498,30.91,31.44,30.8
7/5/2012,31.47,10027250,31.32,31.63,31.02
7/6/2012,31.73,10943350,31.44,31.9,31.26
7/9/2012,32.17,17755740,32.1,32.88,31.99
7/10/2012,31.47,14238190,32.43,32.48,31.16
7/11/2012,30.97,12997760,31.48,31.56,30.55
7/12/2012,30.81,11299240,30.7,31.4,30.6
7/13/2012,30.72,8102653,31.04,31.07,30.56
7/16/2012,28.25,24549800,30.5,30.5,28.21
7/17/2012,28.09,30410530,28.48,28.59,27.15
7/18/2012,29.11,16807730,28.31,29.29,28.15
7/19/2012,29,13671200,29.41,29.5,28.63
7/20/2012,28.76,11854290,29,29.47,28.72
7/23/2012,28.75,12383610,28.12,29,28.01
7/24/2012,28.45,11512350,28.82,29.45,28.1
7/25/2012,29.34,16749990,28.39,29.49,28.08
7/26/2012,26.85,61009290,27.75,28.23,26.73
7/27/2012,23.71,123011300,23.19,24.54,22.28
7/30/2012,23.15,29253590,24,24.04,23.03
7/31/2012,21.71,55998620,23.37,23.37,21.61
8/1/2012,20.88,44488370,21.5,21.58,20.84
8/2/2012,20.04,56264460,20.77,20.84,19.82
8/3/2012,21.09,80626220,20.36,22.16,19.9
8/6/2012,21.92,27733830,21.39,22.15,21.3
8/7/2012,20.72,36699380,22.2,22.45,20.5
