Date,Close/Last,Volume,Open,High,Low
5/21/2012,310.21,3075229.00,303.34,311.01,303.09
5/22/2012,303.49,3049291.00,309.88,310.06,301.07
5/23/2012,307.87,3170890.00,303.92,307.94,301.63
5/24/2012,304.94,1890980.00,307.71,309.11,302.52
5/25/2012,298.81,3581521.00,303.59,303.96,297.17
5/29/2012,300.23,2604043.00,300.97,302.65,297.19
5/30/2012,297.14,1906529.00,297.11,299.00,294.77
5/31/2012,293.42,2966317.00,297.39,298.04,292.48
6/1/2012,288.43,3057843.00,288.84,289.27,287.10
6/4/2012,292.27,2432436.00,288.04,293.23,287.94
6/5/2012,288.14,2339736.00,290.69,292.04,286.15
6/6/2012,293.27,2095103.00,291.21,293.98,289.76
6/7/2012,292.09,1757697.00,296.82,296.97,291.59
6/8/2012,293.21,1410166.00,290.89,293.49,290.25
6/11/2012,287.17,2660163.00,295.11,295.67,286.26
6/12/2012,285.46,3222462.00,287.82,288.08,282.16
6/13/2012,283.43,1952307.00,283.75,286.42,282.21
6/14/2012,282.40,2341405.00,283.54,285.44,281.12
6/15/2012,285.16,2998982.00,283.05,285.16,281.41
6/18/2012,288.36,2496289.00,284.20,290.06,282.50
6/19/2012,293.76,2075909.00,289.75,295.15,289.51
6/20/2012,291.73,2346698.00,292.89,292.98,289.71
6/21/2012,285.51,2010772.00,292.90,292.90,284.77
6/22/2012,288.68,2202179.00,286.92,288.68,285.82
6/25/2012,283.23,1581536.00,286.58,286.97,281.54
6/26/2012,285.25,1350151.00,284.28,286.22,282.62
6/27/2012,287.58,1691146.00,286.77,289.95,285.92
6/28/2012,285.06,1920770.00,285.86,286.03,281.47
6/29/2012,293.02,2518306.00,290.44,293.05,289.04
7/2/2012,293.22,1655242.00,293.90,294.50,291.22
7/3/2012,296.94,1190525.00,292.99,297.23,291.97
7/5/2012,301.03,2345901.00,297.41,303.12,297.30
7/6/2012,296.00,2160718.00,299.27,299.81,294.41
7/9/2012,296.02,1714741.00,295.48,297.33,293.62
7/10/2012,293.84,1923015.00,298.13,299.26,292.35
7/11/2012,288.53,3499011.00,291.12,291.90,285.38
7/12/2012,288.18,2309397.00,286.48,288.91,283.94
7/13/2012,291.23,1975080.00,289.02,292.55,287.20
7/16/2012,290.42,1462261.00,291.15,292.57,288.83
7/17/2012,291.33,1679742.00,292.19,293.32,287.12
