,ds,y,residual1,yhat1,trend,season_weekly,future_regressors_additive,future_regressor_volume,,,,,,,residual1,y,yhat1
0,11/9/2021,335.9500122,0.536376953,336.4863892,302.1562805,36.90494156,-2.574817419,-2.574817419,,,,,,0,0.536376953,335.9500122,336.4863892
1,11/10/2021,330.7999878,5.330810547,336.1307983,302.1740112,38.25495148,-4.298170567,-4.298170567,,,,,,1,5.330810547,330.7999878,336.1307983
2,11/11/2021,332.4299927,5.944671631,338.3746643,302.1917419,36.92586136,-0.742930293,-0.742930293,,,,,,2,5.944671631,332.4299927,338.3746643
3,11/12/2021,336.7200012,-0.650787354,336.0692139,302.2094727,37.4716568,-3.611911535,-3.611911535,,,,,,3,-0.650787354,336.7200012,336.0692139
4,11/15/2021,336.0700073,2.257354736,338.3273621,302.2626343,36.75553513,-0.690820813,-0.690820813,,,,,,4,2.257354736,336.0700073,338.3273621
5,11/16/2021,339.5100098,-2.72668457,336.7833252,302.280365,36.90494156,-2.401968479,-2.401968479,,,,,,5,-2.72668457,339.5100098,336.7833252
6,11/17/2021,339.1199951,-0.215454102,338.904541,302.2980957,38.25495148,-1.648517728,-1.648517728,,,,,,6,-0.215454102,339.1199951,338.904541
7,11/18/2021,341.269989,-5.078216553,336.1917725,302.3158264,36.92586136,-3.049926281,-3.049926281,,,,,,7,-5.078216553,341.269989,336.1917725
8,11/19/2021,343.1099854,-6.149169922,336.9608154,302.3335571,37.4716568,-2.84440589,-2.84440589,,,,,,8,-6.149169922,343.1099854,336.9608154
9,11/22/2021,339.8299866,-7.258575439,332.5714111,302.3867493,36.75553513,-6.570851803,-6.570851803,,,,,,9,-7.258575439,339.8299866,332.5714111
10,11/23/2021,337.6799927,-4.69342041,332.9865723,302.40448,36.90494156,-6.322838306,-6.322838306,,,,,,10,-4.69342041,337.6799927,332.9865723
11,11/24/2021,337.9100037,0.046875,337.9568787,302.4221802,38.25495148,-2.720255852,-2.720255852,,,,,,11,0.046875,337.9100037,337.9568787
12,11/26/2021,329.6799927,6.47869873,336.1586914,302.4576416,37.4716568,-3.770623922,-3.770623922,,,,,,12,6.47869873,329.6799927,336.1586914
13,11/29/2021,336.6300049,-2.920410156,333.7095947,302.5108337,36.75553513,-5.556771278,-5.556771278,,,,,,13,-2.920410156,336.6300049,333.7095947
14,11/30/2021,330.5899963,-2.599060059,327.9909363,302.5285645,36.90494156,-11.44255543,-11.44255543,,,,,,14,-2.599060059,330.5899963,327.9909363
15,12/1/2021,330.0799866,3.202545166,333.2825317,302.5462952,38.25495148,-7.518726826,-7.518726826,,,,,,15,3.202545166,330.0799866,333.2825317
16,12/2/2021,329.4899902,3.537963867,333.0279541,302.5640259,36.92586136,-6.46190691,-6.46190691,,,,,,16,3.537963867,329.4899902,333.0279541
17,12/3/2021,323.0100098,6.055480957,329.0654907,302.5817261,37.4716568,-10.98791313,-10.98791313,,,,,,17,6.055480957,323.0100098,329.0654907
18,12/6/2021,326.1900024,6.806121826,332.9961243,302.4010925,36.75553513,-6.160510063,-6.160510063,,,,,,18,6.806121826,326.1900024,332.9961243
19,12/7/2021,334.9200134,-2.42578125,332.4942322,302.1563721,36.90494156,-6.567070961,-6.567070961,,,,,,19,-2.42578125,334.9200134,332.4942322
20,12/8/2021,334.9700012,1.202484131,336.1724854,301.9116211,38.25495148,-3.994102955,-3.994102955,,,,,,20,1.202484131,334.9700012,336.1724854
21,12/9/2021,333.1000061,2.545288086,335.6452942,301.6669312,36.92586136,-2.947474241,-2.947474241,,,,,,21,2.545288086,333.1000061,335.6452942
22,12/10/2021,342.5400085,-13.12026978,329.4197388,301.4221802,37.4716568,-9.474106789,-9.474106789,,,,,,22,-13.12026978,342.5400085,329.4197388
23,12/13/2021,339.3999939,-7.651275635,331.7487183,300.6879883,36.75553513,-5.694812298,-5.694812298,,,,,,23,-7.651275635,339.3999939,331.7487183
24,12/14/2021,328.3399963,-3.072601318,325.267395,300.4432678,36.90494156,-12.08081532,-12.08081532,,,,,,24,-3.072601318,328.3399963,325.267395
25,12/15/2021,334.6499939,-4.555023193,330.0949707,300.1985474,38.25495148,-8.358520508,-8.358520508,,,,,,25,-4.555023193,334.6499939,330.0949707
26,12/16/2021,324.8999939,3.763458252,328.6634521,299.9537964,36.92586136,-8.216204643,-8.216204643,,,,,,26,3.763458252,324.8999939,328.6634521
27,12/17/2021,323.7999878,-0.061004639,323.7389832,299.7090759,37.4716568,-13.4417448,-13.4417448,,,,,,27,-0.061004639,323.7999878,323.7389832
28,12/20/2021,319.9100037,10.36105347,330.2710571,298.9749146,36.75553513,-5.459374428,-5.459374428,,,,,,28,10.36105347,319.9100037,330.2710571
29,12/21/2021,327.2900085,4.359375,331.6493835,298.7301636,36.90494156,-3.985719204,-3.985719204,,,,,,29,4.359375,327.2900085,331.6493835
30,12/22/2021,333.2000122,-0.482696533,332.7173157,298.4854431,38.25495148,-4.023075581,-4.023075581,,,,,,30,-0.482696533,333.2000122,332.7173157
31,12/23/2021,334.6900024,-1.403900146,333.2861023,298.2407227,36.92586136,-1.880462527,-1.880462527,,,,,,31,-1.403900146,334.6900024,333.2861023
32,12/27/2021,342.4500122,-10.44842529,332.0015869,297.2617798,36.75553513,-2.015749931,-2.015749931,,,,,,32,-10.44842529,342.4500122,332.0015869
33,12/28/2021,341.25,-7.582580566,333.6674194,297.0170593,36.90494156,-0.254588604,-0.254588604,,,,,,33,-7.582580566,341.25,333.6674194
34,12/29/2021,341.9500122,-6.922729492,335.0272827,296.7723389,38.25495148,0,0,,,,,,34,-6.922729492,341.9500122,335.0272827
35,12/30/2021,339.3200073,-6.257995605,333.0620117,296.5276184,36.92586136,-0.39143768,-0.39143768,,,,,,35,-6.257995605,339.3200073,333.0620117
36,12/31/2021,336.3200073,-3.781433105,332.5385742,296.2828674,37.4716568,-1.215943098,-1.215943098,,,,,,36,-3.781433105,336.3200073,332.5385742
37,1/3/2022,334.75,-9.094482422,325.6555176,294.5806885,36.75553513,-5.680716515,-5.680716515,,,,,,37,-9.094482422,334.75,325.6555176
38,1/4/2022,329.0100098,-5.363220215,323.6467896,293.9879761,36.90494156,-7.246138573,-7.246138573,,,,,,38,-5.363220215,329.0100098,323.6467896
39,1/5/2022,316.3800049,4.991241455,321.3712463,293.3952942,38.25495148,-10.27901077,-10.27901077,,,,,,39,4.991241455,316.3800049,321.3712463
