,ds,y,residual1,yhat1,trend,season_weekly,future_regressors_additive,future_regressor_add1,,,,,,y,residual1,yhat1
0,11/8/2021,336.9899902,-0.010070801,336.9799194,251.8289795,87.5402298,-2.389275551,-2.389275551,,,,,0,336.9899902,-0.010070801,336.9799194
1,11/9/2021,335.9500122,0.673095703,336.6231079,251.8547974,87.32506561,-2.556749582,-2.556749582,,,,,1,335.9500122,0.673095703,336.6231079
2,11/10/2021,330.7999878,5.450592041,336.2505798,251.8806152,88.6379776,-4.268009186,-4.268009186,,,,,2,330.7999878,5.450592041,336.2505798
3,11/11/2021,332.4299927,6.408782959,338.8387756,251.9064331,87.67007446,-0.737716913,-0.737716913,,,,,3,332.4299927,6.408782959,338.8387756
4,11/12/2021,336.7200012,-0.528930664,336.1910706,251.932251,87.84539795,-3.586565733,-3.586565733,,,,,4,336.7200012,-0.528930664,336.1910706
5,11/15/2021,336.0700073,2.793945313,338.8639526,252.0096893,87.5402298,-0.685973108,-0.685973108,,,,,5,336.0700073,2.793945313,338.8639526
6,11/16/2021,339.5100098,-2.534545898,336.9754639,252.0355072,87.32506561,-2.385113239,-2.385113239,,,,,6,339.5100098,-2.534545898,336.9754639
7,11/17/2021,339.1199951,-0.057647705,339.0623474,252.0613251,88.6379776,-1.636949658,-1.636949658,,,,,7,339.1199951,-0.057647705,339.0623474
8,11/18/2021,341.269989,-4.541290283,336.7286987,252.0871277,87.67007446,-3.02852416,-3.02852416,,,,,8,341.269989,-4.541290283,336.7286987
9,11/19/2021,343.1099854,-5.976074219,337.1339111,252.1129456,87.84539795,-2.824446201,-2.824446201,,,,,9,343.1099854,-5.976074219,337.1339111
10,11/22/2021,339.8299866,-6.62411499,333.2058716,252.1903992,87.5402298,-6.524742126,-6.524742126,,,,,10,339.8299866,-6.62411499,333.2058716
11,11/23/2021,337.6799927,-4.417175293,333.2628174,252.216217,87.32506561,-6.278469563,-6.278469563,,,,,11,337.6799927,-4.417175293,333.2628174
12,11/24/2021,337.9100037,0.268829346,338.178833,252.2420197,88.6379776,-2.701167107,-2.701167107,,,,,12,337.9100037,0.268829346,338.178833
13,11/26/2021,329.6799927,6.714904785,336.3948975,252.2936554,87.84539795,-3.744164705,-3.744164705,,,,,13,329.6799927,6.714904785,336.3948975
14,11/29/2021,336.6300049,-2.236450195,334.3935547,252.3710938,87.5402298,-5.51777792,-5.51777792,,,,,14,336.6300049,-2.236450195,334.3935547
15,11/30/2021,330.5899963,-2.230255127,328.3597412,252.3969116,87.32506561,-11.36226082,-11.36226082,,,,,15,330.5899963,-2.230255127,328.3597412
16,12/1/2021,330.0799866,3.51473999,333.5947266,252.4227295,88.6379776,-7.465965748,-7.465965748,,,,,16,330.0799866,3.51473999,333.5947266
17,12/2/2021,329.4899902,4.21206665,333.7020569,252.4485474,87.67007446,-6.416562557,-6.416562557,,,,,17,329.4899902,4.21206665,333.7020569
18,12/3/2021,323.0100098,6.398925781,329.4089355,252.4743652,87.84539795,-10.91080856,-10.91080856,,,,,18,323.0100098,6.398925781,329.4089355
19,12/6/2021,326.1900024,7.307342529,333.497345,252.0744019,87.5402298,-6.117280483,-6.117280483,,,,,19,326.1900024,7.307342529,333.497345
20,12/7/2021,334.9200134,-2.268218994,332.6517944,251.8477325,87.32506561,-6.520988464,-6.520988464,,,,,20,334.9200134,-2.268218994,332.6517944
21,12/8/2021,334.9700012,1.322967529,336.2929688,251.6210632,88.6379776,-3.96607542,-3.96607542,,,,,21,334.9700012,1.322967529,336.2929688
22,12/9/2021,333.1000061,3.037689209,336.1376953,251.3944092,87.67007446,-2.926791191,-2.926791191,,,,,22,333.1000061,3.037689209,336.1376953
23,12/10/2021,342.5400085,-12.93447876,329.6055298,251.1677399,87.84539795,-9.407625198,-9.407625198,,,,,23,342.5400085,-12.93447876,329.6055298
24,12/13/2021,339.3999939,-7.026855469,332.3731384,250.4877625,87.5402298,-5.654850006,-5.654850006,,,,,24,339.3999939,-7.026855469,332.3731384
25,12/14/2021,328.3399963,-2.74987793,325.5901184,250.2610931,87.32506561,-11.99604034,-11.99604034,,,,,25,328.3399963,-2.74987793,325.5901184
26,12/15/2021,334.6499939,-4.277435303,330.3725586,250.0344391,88.6379776,-8.299866676,-8.299866676,,,,,26,334.6499939,-4.277435303,330.3725586
27,12/16/2021,324.8999939,4.419311523,329.3193054,249.8077698,87.67007446,-8.158551216,-8.158551216,,,,,27,324.8999939,4.419311523,329.3193054
28,12/17/2021,323.7999878,0.279083252,324.079071,249.5811157,87.84539795,-13.34742069,-13.34742069,,,,,28,323.7999878,0.279083252,324.079071
29,12/20/2021,319.9100037,11.11029053,331.0202942,248.901123,87.5402298,-5.421064377,-5.421064377,,,,,29,319.9100037,11.11029053,331.0202942
30,12/21/2021,327.2900085,4.75177002,332.0417786,248.674469,87.32506561,-3.957750797,-3.957750797,,,,,30,327.2900085,4.75177002,332.0417786
